id,Date,Measure,Count,Reporting,Missing
221,2020-09-06,Residents.Deaths,1090,50,"Mississippi, Nebraska, District of Columbia"
222,2020-09-13,Residents.Deaths,1131,51,"Mississippi, District of Columbia"
223,2020-09-20,Residents.Deaths,1211,51,"Mississippi, District of Columbia"
224,2020-09-27,Residents.Deaths,1236,51,"Mississippi, District of Columbia"
225,2020-10-04,Residents.Deaths,1261,51,"Illinois, Mississippi"
226,2020-10-11,Residents.Deaths,1307,49,"Kansas, Mississippi, Nebraska, New Hampshire"
227,2020-10-18,Residents.Deaths,1374,52,Mississippi
228,2020-10-25,Residents.Deaths,1393,52,Mississippi
229,2020-11-01,Residents.Deaths,1434,51,"Maine, Mississippi"
230,2020-11-08,Residents.Deaths,1459,51,"Mississippi, Oklahoma"
231,2020-11-15,Residents.Deaths,1512,51,"Mississippi, Missouri"
232,2020-11-22,Residents.Deaths,1561,50,"Maine, Mississippi, Oklahoma"
233,2020-11-29,Residents.Deaths,1666,52,Mississippi
234,2020-12-06,Residents.Deaths,1755,52,Mississippi
235,2020-12-13,Residents.Deaths,1815,51,"Illinois, Mississippi"
236,2020-12-20,Residents.Deaths,1945,51,"Mississippi, Rhode Island"
237,2020-12-27,Residents.Deaths,2073,53,""
238,2021-01-03,Residents.Deaths,2161,52,Mississippi
239,2021-01-10,Residents.Deaths,2176,51,"Illinois, Mississippi"
240,2021-01-17,Residents.Deaths,2345,52,Mississippi
241,2021-01-24,Residents.Deaths,2423,53,""
242,2021-01-31,Residents.Deaths,2465,53,""
243,2021-02-07,Residents.Deaths,2512,52,Wyoming
244,2021-02-14,Residents.Deaths,2495,52,Arizona
245,2021-02-21,Residents.Deaths,2518,52,Arizona
246,2021-02-28,Residents.Deaths,2542,52,Arizona
247,2021-03-07,Residents.Deaths,2556,52,Arizona
248,2021-03-14,Residents.Deaths,2627,53,""
249,2021-03-21,Residents.Deaths,2586,52,Illinois
250,2021-03-28,Residents.Deaths,2652,53,""
251,2021-04-04,Residents.Deaths,2660,53,""
252,2021-04-11,Residents.Deaths,2676,53,""
253,2021-04-18,Residents.Deaths,2683,53,""
254,2021-04-25,Residents.Deaths,2691,53,""
255,2021-05-02,Residents.Deaths,2695,53,""
256,2021-05-09,Residents.Deaths,2703,53,""
257,2021-05-16,Residents.Deaths,2701,53,""
258,2021-05-23,Residents.Deaths,2705,52,Maine
259,2021-05-30,Residents.Deaths,2712,52,Maine
260,2021-06-06,Residents.Deaths,2715,52,Maine
261,2021-06-13,Residents.Deaths,2718,52,Maine
262,2021-06-20,Residents.Deaths,2699,51,"Maine, Mississippi"
263,2021-06-27,Residents.Deaths,2478,48,"Arkansas, Illinois, Maine, Mississippi, Vermont"
264,2021-07-04,Residents.Deaths,2474,48,"Arkansas, Illinois, Maine, Mississippi, Vermont"
265,2021-07-11,Residents.Deaths,2391,46,"Arkansas, Illinois, Louisiana, Maine, Mississippi
266, Nevada, Vermont"
267,2021-07-18,Residents.Deaths,2350,45,"Arkansas, Georgia, Illinois, Louisiana, Maine
268, Mississippi, Rhode Island, Vermont"
269,2021-07-25,Residents.Deaths,2356,46,"Arkansas, Georgia, Illinois, Louisiana, Maine
270, Mississippi, Vermont"
271,2021-08-01,Residents.Deaths,2363,46,"Arkansas, Georgia, Illinois, Louisiana, Maine
272, Mississippi, Vermont"
273,2021-08-08,Residents.Deaths,2313,45,"Arkansas, Georgia, Illinois, Louisiana, Maine
274, Mississippi, Nevada, Vermont"
275,2021-08-15,Residents.Deaths,2407,47,"Arkansas, Georgia, Louisiana, Maine, Mississippi
276, Nevada"
277,2021-08-22,Residents.Deaths,2457,48,"Arkansas, Georgia, Louisiana, Maine, Mississippi"
278,2021-08-29,Residents.Deaths,2465,48,"Arkansas, Georgia, Louisiana, Maine, Mississippi"
279,2021-09-05,Residents.Deaths,2470,48,"Arkansas, Georgia, Louisiana, Maine, Mississippi"
280,2021-09-12,Residents.Deaths,2572,48,"Arkansas, Georgia, Louisiana, Maine, Mississippi"
281,2020-03-22,Staff.Deaths,0,49,"Kentucky, South Dakota, ICE, District of Columbia"
282,2020-03-29,Staff.Deaths,2,47,"Kentucky, Mississippi, Nebraska, South Dakota, ICE
283, District of Columbia"
284,2020-04-05,Staff.Deaths,6,46,"Alaska, Arizona, Hawaii, Illinois, New Jersey
285, ICE, District of Columbia"
286,2020-04-12,Staff.Deaths,9,51,"ICE, District of Columbia"
287,2020-04-19,Staff.Deaths,15,50,"Mississippi, ICE, District of Columbia"
288,2020-04-26,Staff.Deaths,20,51,"ICE, District of Columbia"
289,2020-05-03,Staff.Deaths,22,50,"North Dakota, ICE, District of Columbia"
290,2020-05-10,Staff.Deaths,28,50,"Washington, ICE, District of Columbia"
291,2020-05-17,Staff.Deaths,33,50,"Colorado, ICE, District of Columbia"
292,2020-05-24,Staff.Deaths,33,46,"Delaware, Mississippi, Oklahoma, Utah, Virginia
293, ICE, District of Columbia"
294,2020-05-31,Staff.Deaths,34,47,"Delaware, Mississippi, Utah, Virginia, ICE
295, District of Columbia"
296,2020-06-07,Staff.Deaths,39,48,"Delaware, Mississippi, Virginia, ICE, District of Columbia"
